GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,68,1,8,1,15,1,6,0,2
parking-system,com.parkit.parkingsystem.service,ParkingService,6,147,0,10,2,47,0,10,0,5
parking-system,com.parkit.parkingsystem,App,44,0,0,0,11,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,8,54,0,8,4,15,2,11,2,7
parking-system,com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingAppAction,0,44,0,0,0,5,0,1,0,1
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,0,53,0,2,0,16,0,5,0,4
parking-system,com.parkit.parkingsystem.dao,TicketDAO,49,182,2,2,7,42,2,5,0,5
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,15,92,2,2,5,24,2,4,0,4
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,28,34,0,6,10,17,1,8,1,5
parking-system,com.parkit.parkingsystem.controller,ParkingController,0,143,0,13,0,56,0,18,0,9
parking-system,com.parkit.parkingsystem.view,InteractiveShell,0,154,0,6,0,36,0,13,0,10
